conflict_case,origin_name,origin_iso,host_name,host_iso,host_group,year,post_conflict,conflict_intensity,refugee_stock,asylum_seekers,host_population,refugees_per_1000,log_refugee_stock,gdp_growth,inflation,unemployment,trade_pct_gdp,current_account_pct_gdp
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2016,1,43650.0,375122.0,100527.0,82348669.0,4.555289169276069,12.835009251172307,2.22222216259371,0.491747008445174,4.104,76.0059902166055,8.9023603683727
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2017,1,24126.0,496674.0,70833.0,82657002.0,6.008855728883078,13.115691167636264,2.797906720551,1.50949485109628,3.781,77.4548394742448,8.07873526112888
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2018,1,13072.0,532065.0,52396.0,82905782.0,6.417706789135648,13.184522820779334,1.13569604599849,1.73216879766941,3.384,79.1252260463654,8.43761219902204
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2019,1,7379.0,572818.0,41280.0,83092962.0,6.893700575988614,13.25832506446951,0.977734697038784,1.44565976888253,3.163,79.0732427175683,7.87471222403171
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2020,1,4589.0,605338.0,37219.0,83160871.0,7.279120489250287,13.31354391066493,-4.13191443239947,0.144877925813981,3.881,72.9335327120137,6.34782686016016
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2021,1,1356.0,621740.0,53750.0,83196078.0,7.473188820271071,13.340278886289472,3.90999994204108,3.06666666666673,3.594,79.9195348609851,6.9200696637534
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2022,1,911.0,522575.0,54218.0,83177813.0,6.282624911044487,13.166525706789072,1.8092581243061,6.87257438551096,3.137,88.7857542130501,3.85045627175846
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2023,1,1500.0,705812.0,72642.0,83287273.0,8.47442801975279,13.467105608869211,-0.869647578573321,5.94643667725823,3.071,81.9625483787634,5.51222510245724
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2024,1,2166.0,725102.0,62959.0,83516593.0,8.68213098683276,13.494068992711489,-0.495851897260366,2.2564981433876,3.4,79.0907305894936,5.81156126321154
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2010,0,0.0,8.0,0.0,89196072.0,8.969004823441104e-05,2.1972245773362196,5.1472348575531,11.2651882653185,8.757,47.9363500745898,-2.05668307641306
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2011,1,1203.0,9.0,85.0,91093059.0,9.880006335060062e-05,2.302585092994046,1.7645719489982,10.0649259874818,11.849,45.2556341623514,-2.32378812632193
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2012,1,50490.0,12836.0,0.0,93161001.0,0.13778297637656342,9.460086905084927,2.22619979863525,7.11172943343082,12.597,40.7117692721084,-2.49788021735236
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2013,1,72016.0,131659.0,0.0,95333553.0,1.3810352793627654,11.787978121021867,2.18546605362143,9.4697198106492,13.154,40.373038056332,-1.22513249838744
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2014,1,65345.0,138381.0,0.0,97528654.0,1.4188753184269312,11.837773255903988,2.91591187985748,10.0702154687481,13.105,36.9201877934272,-1.94849131455399
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2015,1,50181.0,117635.0,0.0,99597342.0,1.1811058170608608,11.675350390049726,4.37201907790141,10.370490343517,13.052,34.8459429600229,-5.23529137853431
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2016,1,43650.0,116013.0,0.0,101644589.0,1.1413593300082112,11.661466152461264,4.34664345555447,13.8136062148289,12.45,30.2465490514505,-6.16465951871263
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2017,1,24126.0,126688.0,0.0,103696057.0,1.2217243708697623,11.74949054328213,4.18122099994778,29.5066083940038,11.767,42.8321343581608,-3.19681566782461
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2018,1,13072.0,132871.0,0.0,105682094.0,1.2572706971532945,11.797141537778835,5.3311086189448,14.4014657807421,9.855,45.9110196733959,-2.93164483711978
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2019,1,7379.0,129210.0,0.0,107553158.0,1.2013594245182462,11.769202006025377,5.55209307156956,9.15279959324803,7.851,41.1240171551108,-3.20758543154937
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2020,1,4589.0,130577.0,0.0,109315124.0,1.1945007719151468,11.779726028342122,3.55016483786838,5.04493288977538,7.974,32.1262555667523,-3.70903990583373
Syrian Civil War,Syria,SYR,Egypt,EGY,regional_non_neighbor_host,2021,1,1356.0,136727.0,0.0,110957008.0,1.2322520448640792,11.825748829828342,3.29064601202211,5.21404940513042,7.441,29.8569734808122,-4.38240299812
