origin_name,origin_iso,host_name,host_iso,year,conflict_bd_best_syria,refugee_stock,asylum_seekers,host_population,refugees_per_1000,log_refugee_stock,gdp_growth,inflation,unemployment,trade_pct_gdp,current_account_pct_gdp
Syria,SYR,Lebanon,LBN,2015,50181.0,1062690,16,6472469.0,164.18618613700582,13.876314928330853,0.462320792597581,-3.74914524799629,9.312,71.8390426347811,-17.1077378092157
Syria,SYR,Lebanon,LBN,2016,43650.0,1005503,10,6323060.0,159.02158132296705,13.820999466307269,1.55454940856943,-0.783359624361508,9.794,67.7236177908116,-20.4780237123596
Syria,SYR,Lebanon,LBN,2017,24126.0,992127,10,6160128.0,161.0562312990899,13.807607410201129,0.903028464073813,4.32135218303191,10.258,68.4554292593276,-22.8822040339123
Syria,SYR,Lebanon,LBN,2018,13072.0,944181,5,5984119.0,157.78112032865656,13.75807422315493,-1.88470575631651,6.07698907889607,10.755,68.2573073043718,-24.3470417876755
Syria,SYR,Lebanon,LBN,2019,7379.0,910586,0,5794594.0,157.1440553039609,13.721844725479572,-6.91492472851026,3.00538949390383,11.301,62.98091601016,-21.828092491848
Syria,SYR,Lebanon,LBN,2020,4589.0,865300,0,5702398.0,151.74317892227094,13.670832702262716,-21.3998996914321,84.8643330472041,13.252,50.1298042879627,-8.76184199911137
Syria,SYR,Lebanon,LBN,2021,1356.0,840929,0,5718122.0,147.0638436885397,13.642263701245977,-7.00123862514116,154.756096023393,12.715,78.8286204025241,-19.6978128626341
Syria,SYR,Lebanon,LBN,2022,911.0,814715,0,5744489.0,141.8254957055362,13.610594865236857,-0.621678970663112,171.205491336641,11.105,114.888278265666,-34.606227109401
Syria,SYR,Lebanon,LBN,2023,1500.0,784884,0,5773493.0,135.94612481560122,13.573292489217552,-0.760584470257314,221.341644023365,10.985,104.206410069182,-28.103669636709
Syria,SYR,Lebanon,LBN,2024,2166.0,755426,0,5805962.0,130.11211578718564,13.53503843127464,,45.2430422716718,,,
Syria,SYR,Turkey,TUR,2010,0.0,9,65,73142150.0,0.00012304806462484354,2.302585092994046,8.54219848467686,8.56644420552976,11.879,46.9433366709891,-5.70254261669491
Syria,SYR,Turkey,TUR,2011,1203.0,19,205,74223629.0,0.0002559831721512835,2.995732273553991,10.9799625273598,6.471879671151,9.789,53.651583897618,-8.81351105932507
Syria,SYR,Turkey,TUR,2012,50490.0,248466,200,75175827.0,3.305131581725067,12.423065318919862,4.80762696633448,8.89156996512163,9.21,53.3277612968607,-4.72096418758118
Syria,SYR,Turkey,TUR,2013,72016.0,585601,110,76147624.0,7.690338440500783,13.280395656923954,8.48825689298511,7.49309030547693,9.713,53.0683530043043,-5.12686124176872
Syria,SYR,Turkey,TUR,2014,65345.0,1557899,250,77181884.0,20.184775484361072,14.25884931850052,4.60079447270559,8.85457271364316,9.901,54.30677404128,-3.40746259930754
Syria,SYR,Turkey,TUR,2015,50181.0,2503549,297,78218479.0,32.00712967072653,14.733220282591843,5.80557386628684,7.67085364845885,10.304,51.8749252596832,-2.46735825450658
Syria,SYR,Turkey,TUR,2016,43650.0,2823987,180,79277962.0,35.62133698643767,14.853660628294456,3.32366508200445,7.7751341532833,10.899,48.870183807987,-2.54530792537505
Syria,SYR,Turkey,TUR,2017,24126.0,3424237,162,80312698.0,42.63630889352017,15.046389523173902,7.82585730002594,11.1443110840764,10.919,56.1356585158689,-4.06783613710293
Syria,SYR,Turkey,TUR,2018,13072.0,3622366,111,81407204.0,44.49687278290506,15.102638237527119,3.46815306092219,16.3324638988929,10.956,62.8251323851165,-1.85233343060557
Syria,SYR,Turkey,TUR,2019,7379.0,3576370,0,82579440.0,43.30823749834099,15.089859157097752,1.30162365464503,15.1768215720022,13.73,62.5784589326239,1.9351600379275
Syria,SYR,Turkey,TUR,2020,4589.0,3641370,0,83384680.0,43.66953258080501,15.107870817050387,1.80306247087255,12.2789574462574,13.148,60.389853117297,-4.22284721473811
Syria,SYR,Turkey,TUR,2021,1356.0,3737369,0,84147318.0,44.41459441404894,15.133892713467453,11.811094450607,19.5964926913324,11.969,69.6088976086437,-0.74064931592423
Syria,SYR,Turkey,TUR,2022,911.0,3535898,0,84979913.0,41.60863285421344,15.078478138983314,5.44122511322401,72.3088359891207,10.465,79.8982722314341,-4.99763806227356
Syria,SYR,Turkey,TUR,2023,1500.0,3214780,0,85325965.0,37.67645639870583,14.983269795137751,5.04512369812289,53.8594087593315,9.388,65.6832084738667,-3.63367003503212
Syria,SYR,Turkey,TUR,2024,2166.0,2901478,0,85518661.0,33.92801016844733,14.880731164950902,3.3276230893799,58.5064507300342,8.8,54.5988061195916,-0.766008235540632
